Frames,Vehicles,Total 
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,,1
23,1,2
24,1,2
25,1,2
26,1,2
27,1,2
28,,2
29,,2
30,,2
31,,2
32,,2
33,,2
34,,2
35,,2
36,,2
37,,2
38,,2
39,,2
40,,2
41,,2
42,,2
43,,2
44,,2
45,,2
46,,2
47,,2
48,,2
49,,2
50,,2
51,,2
52,,2
53,,2
54,,2
55,,2
56,,2
57,,2
58,,2
59,,2
60,,2
61,,2
62,,2
63,,2
64,,2
65,,2
66,,2
67,,2
68,,2
69,,2
70,,2
71,,2
72,,2
73,,2
74,,2
75,,2
76,,2
77,,2
78,,2
79,,2
80,,2
81,,2
82,,2
83,,2
84,,2
85,,2
86,,2
87,,2
88,1,3
89,1,3
90,1,3
91,1,3
92,1,3
93,1,3
94,1,3
95,1,3
96,1,3
97,1,3
98,1,3
99,1,3
100,,3
101,1,4
102,1,4
103,1,4
104,1,4
105,1,4
106,1,4
107,1,4
108,1,4
109,1,4
110,1,4
111,1,4
112,1,4
113,,4
114,,4
115,,4
116,,4
117,,4
118,,4
119,,4
120,,4
121,,4
122,,4
123,,4
124,,4
125,,4
126,,4
127,,4
128,,4
129,,4
130,,4
131,,4
132,,4
133,,4
134,,4
135,,4
136,,4
137,,4
138,,4
139,,4
140,,4
141,,4
142,,4
143,,4
144,,4
145,,4
146,,4
147,,4
148,,4
149,,4
150,,4
151,,4
152,,4
153,,4
154,,4
155,,4
156,,4
157,,4
158,,4
159,,4
160,,4
161,,4
162,,4
163,,4
164,,4
165,,4
166,,4
167,,4
168,,4
169,,4
170,,4
171,,4
172,,4
173,,4
174,,4
175,,4
176,,4
177,,4
178,,4
179,,4
180,,4
181,,4
182,,4
183,1,5
184,1,5
185,1,5
186,1,5
187,1,5
188,,5
189,1,6
190,1,6
191,,6
192,1,7
193,1,7
194,1,7
195,2,8
196,1,8
197,2,8
198,2,8
199,2,8
200,2,8
201,2,8
202,2,8
203,2,8
204,2,8
205,2,8
206,2,8
207,2,8
208,1,8
209,,8
210,,8
211,,8
212,,8
213,1,9
214,1,9
215,1,9
216,1,9
217,1,9
218,1,9
219,1,9
220,1,9
221,1,9
222,1,9
223,1,9
224,,9
225,,9
226,,9
227,,9
228,,9
229,,9
230,,9
231,,9
232,,9
233,,9
234,,9
235,,9
236,,9
237,,9
238,,9
239,,9
240,,9
241,,9
242,,9
243,,9
244,,9
245,,9
246,,9
247,,9
248,,9
249,1,10
250,1,10
251,1,10
252,1,10
253,1,10
254,1,10
255,1,10
256,1,10
257,1,10
258,1,10
259,1,10
260,1,10
261,1,10
262,1,10
263,,10
264,,10
265,,10
266,,10
267,,10
268,,10
269,,10
270,,10
271,,10
272,,10
273,,10
274,,10
275,,10
276,,10
277,,10
278,,10
279,,10
280,,10
281,,10
282,,10
283,,10
284,,10
285,,10
286,,10
287,,10
288,,10
289,1,11
290,1,11
291,1,11
292,1,11
293,1,11
294,1,11
295,1,11
296,1,11
297,1,11
298,1,11
299,1,11
300,1,11
301,1,11
302,1,11
303,,11
304,,11
305,,11
306,,11
307,,11
308,,11
309,,11
310,,11
311,,11
312,,11
313,,11
314,,11
315,,11
316,,11
317,,11
318,,11
319,1,12
320,1,12
321,1,12
322,1,12
323,1,12
324,1,12
325,1,12
326,1,12
327,1,12
328,1,12
329,1,12
330,1,12
331,1,12
332,1,12
333,1,12
334,,12
335,,12
336,,12
337,,12
338,,12
339,,12
340,,12
341,,12
342,,12
343,,12
344,,12
345,,12
346,,12
347,,12
348,,12
349,,12
350,,12
351,,12
352,,12
353,,12
354,,12
355,,12
356,,12
357,,12
358,,12
359,,12
360,,12
361,,12
362,,12
363,,12
364,,12
365,,12
366,,12
367,,12
368,,12
369,,12
370,,12
371,,12
372,,12
373,,12
374,,12
375,,12
376,,12
377,,12
378,1,13
379,1,13
380,1,13
381,1,13
382,2,14
383,2,14
384,2,14
385,2,14
386,2,14
387,2,14
388,1,15
389,1,15
390,1,15
391,1,15
392,1,15
393,1,15
394,1,15
395,1,15
396,1,15
397,,15
