Frames,Vehicles,Total
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,,1
38,,1
39,,1
40,,1
41,,1
42,,1
43,,1
44,,1
45,,1
46,,1
47,,1
48,,1
49,,1
50,,1
51,,1
52,,1
53,1,2
54,1,2
55,1,2
56,,2
57,1,3
58,1,3
59,1,3
60,,3
61,,3
62,1,4
63,1,4
64,1,4
65,1,4
66,1,4
67,,4
68,,4
69,,4
70,,4
71,,4
72,,4
73,,4
74,,4
75,,4
76,,4
77,,4
78,,4
79,,4
80,,4
81,,4
82,,4
83,,4
84,,4
85,,4
86,,4
87,,4
88,,4
89,,4
90,,4
91,,4
92,,4
93,,4
94,,4
95,,4
96,,4
97,,4
98,,4
99,,4
100,,4
101,1,5
102,1,5
103,1,5
104,1,5
105,1,5
106,1,5
107,1,5
108,1,5
109,,5
110,,5
111,,5
112,,5
113,,5
114,,5
115,,5
116,,5
117,,5
118,,5
119,,5
120,,5
121,,5
122,,5
123,,5
124,,5
125,,5
126,,5
127,1,6
128,,6
129,,6
130,,6
131,,6
132,,6
133,,6
134,,6
135,,6
136,,6
137,,6
138,,6
139,,6
140,,6
141,,6
142,,6
143,,6
144,,6
145,,6
146,,6
147,,6
148,,6
149,,6
150,,6
151,,6
152,,6
153,,6
154,,6
155,,6
156,,6
157,,6
158,,6
159,,6
160,,6
161,,6
162,,6
163,,6
164,1,7
165,1,7
166,1,7
167,1,7
168,1,7
169,1,7
170,1,7
171,1,7
172,1,7
173,1,7
174,1,7
175,1,7
176,1,7
177,1,7
178,,7
179,,7
180,,7
181,,7
182,,7
183,,7
184,,7
185,,7
186,,7
187,,7
188,,7
189,,7
190,,7
191,,7
192,,7
193,,7
194,,7
195,,7
196,2,9
197,2,9
198,2,10
199,2,10
200,2,10
201,2,10
202,2,10
203,2,10
204,2,10
205,2,10
206,2,10
207,2,10
208,2,10
209,2,10
210,,10
211,,10
212,,10
213,,10
214,,10
215,,10
216,,10
217,,10
218,1,11
219,1,11
220,1,11
221,1,11
222,1,11
223,1,11
224,1,11
225,1,11
226,1,11
227,,11
228,,11
229,,11
230,,11
231,,11
232,1,12
233,1,12
234,1,12
235,1,12
236,1,12
237,1,12
238,1,12
239,1,12
240,1,12
241,1,12
242,1,12
243,1,12
244,1,12
245,,12
246,,12
247,,12
248,,12
249,,12
250,,12
251,,12
252,,12
253,,12
254,,12
255,,12
256,,12
257,,12
258,,12
259,1,13
260,1,13
261,1,13
262,1,13
263,1,13
264,1,13
265,1,13
266,1,13
267,1,13
268,1,13
269,,13
270,,13
271,,13
272,,13
273,,13
274,,13
275,,13
276,,13
277,,13
278,,13
279,,13
280,,13
281,,13
282,,13
283,,13
284,,13
285,,13
286,,13
287,,13
288,,13
289,,13
290,,13
291,,13
292,,13
293,,13
294,,13
295,,13
296,,13
297,,13
298,,13
299,,13
300,,13
301,,13
302,1,14
303,1,14
304,1,14
305,1,14
306,1,14
307,1,14
308,1,14
309,1,14
310,1,14
311,1,14
312,1,14
313,1,14
314,1,14
315,1,14
316,1,14
317,,14
318,,14
319,,14
320,,14
321,,14
322,,14
323,,14
324,,14
325,,14
326,,14
327,,14
328,,14
329,,14
330,,14
331,,14
332,,14
333,,14
334,,14
335,,14
336,,14
337,,14
338,,14
339,,14
340,,14
341,,14
342,,14
343,,14
344,,14
345,,14
346,,14
347,,14
348,,14
349,,14
350,,14
351,,14
352,,14
353,,14
354,,14
355,,14
356,,14
357,,14
358,,14
359,,14
360,,14
361,,14
362,,14
363,,14
364,,14
365,,14
366,,14
367,,14
368,,14
369,,14
370,,14
371,,14
372,,14
373,,14
374,,14
375,,14
376,,14
377,,14
378,,14
379,,14
380,,14
381,,14
382,,14
383,,14
384,1,15
385,1,15
386,1,15
387,1,15
388,1,15
389,1,15
390,1,15
391,1,15
392,1,15
393,1,15
394,1,15
395,1,15
396,1,15
397,1,15
398,1,15
399,1,15
400,,15
